Chord Quality,Quality Count,% of Total Classes
min9(b13),2,0.001780215
min9/11,6,0.005340644
min9/5,10,0.008901073
min9/9,2,0.001780215
min9/b3,4,0.003560429
min9/b7,8,0.007120859
minmaj7,22,0.019582362
minmaj7/5,14,0.012461503
minmaj7/7,3,0.002670322
sus2,214,0.190482972
sus2(#11),1,0.000890107
sus2(b7),43,0.038274616
sus2/3,2,0.001780215
sus2/5,4,0.003560429
sus2/9,44,0.039164723
sus4,1203,1.070799138
sus4(9),141,0.125505136
sus4(9)/7,8,0.007120859
"sus4(b13,b7)",1,0.000890107
sus4(b7),900,0.801096612
sus4(b7)/11,17,0.015131825
sus4(b7)/5,8,0.007120859
sus4(b7)/9,2,0.001780215
sus4(b7)/b7,15,0.01335161
"sus4(b7,9)",988,0.879426059
"sus4(b7,9)/5",2,0.001780215
"sus4(b7,9)/9",2,0.001780215
"sus4(b7,9,#11)",2,0.001780215
"sus4(b7,9,13)",59,0.052516333
sus4/11,10,0.008901073
sus4/5,44,0.039164723
sus4/7,1,0.000890107
sus4/9,9,0.008010966
sus4/b7,16,0.014241718
,112346,
