10,5,,,,,,,,,,,,,,,A-maj,B-maj,Gmaj,Cmin,A-maj,1.1567796494470395,#,_A-majCminGmajB-majA-maj
18,6,,,,,,,,,,,,,,A-maj,B-min7,E-maj,A-maj,B-min7,E-maj,0.9182958340544896,###,_E-majB-min7A-majE-majB-min7A-maj
12,9,,,,,,,,,,,A-maj,B-min7,E-maj,A-maj,B-min7,E-maj,A-maj,B-min7,E-maj,1.0,##,_E-majB-min7A-majE-majB-min7A-majE-majB-min7A-maj
13,6,,,,,,,,,,,,,,A-maj,Cmin,A-maj,B-maj,Cmin,A-maj,0.961236604722876,##,_A-majCminB-majA-majCminA-maj
13,5,,,,,,,,,,,,,,,A-maj,Cmin,E-maj,A-maj,Cmin,0.9912642605354289,#,_CminA-majE-majCminA-maj
10,8,,,,,,,,,,,,A-maj,Cmin,E-maj,A-maj,Cmin,E-maj,A-maj,Cmin,0.9219280948873623,##,_CminA-majE-majCminA-majE-majCminA-maj
30,6,,,,,,,,,,,,,,A-maj,D-maj,G-maj,D-maj,A-maj,D-maj,1.0529815751302694,##,_D-majA-majD-majG-majD-majA-maj
16,10,,,,,,,,,,A-maj,D-maj,G-maj,D-maj,A-maj,D-maj,G-maj,D-maj,A-maj,D-maj,1.4056390622295662,##,_D-majA-majD-majG-majD-majA-majD-majG-majD-majA-maj
20,4,,,,,,,,,,,,,,,,A-maj,Fmaj,Dmaj,Gmaj,0.9709505944546686,#,_GmajDmajFmajA-maj
12,16,,,,A-maj,Fmaj,Dmaj,Gmaj,Cno3,Gmaj,A-maj7,E-maj,D-maj,Cmin7,Cno3,Gmaj,A-maj,Fmaj,Dmaj,Gmaj,0.9182958340544896,###########,_GmajDmajFmajA-majGmajCno3Cmin7D-majE-majA-maj7GmajCno3GmajDmajFmajA-maj
10,8,,,,,,,,,,,,A-maj,G-maj,D-maj,G-maj,D-maj,G-maj,D-maj,A-maj,1.5219280948873621,#####,_A-majD-majG-majD-majG-majD-majG-majA-maj
11,6,,,,,,,,,,,,,,A-maj,G7,Cmin,A-maj,G7,Cmin,1.0957952550009338,##,_CminG7A-majCminG7A-maj
12,11,,,,,,,,,A-maj,Gmaj,Cmin,E-maj,Fmin,A-maj,Gmaj,Cmin,E-maj,Fmin,A-maj,0.9182958340544896,#####,_A-majFminE-majCminGmajA-majFminE-majCminGmajA-maj
12,4,,,,,,,,,,,,,,,,A-maj6,Fmin7,Dhdim,G7,1.0408520829727552,#,_G7DhdimFmin7A-maj6
17,3,,,,,,,,,,,,,,,,,A-maj7,A-maj,B-maj,1.1400677626718574,#,_B-majA-majA-maj7
13,9,,,,,,,,,,,A-maj7,A-maj,B-maj,Cmin,Gmin7,Fmin7,A-maj7,A-maj,B-maj,1.352030101757953,#####,_B-majA-majA-maj7Fmin7Gmin7CminB-majA-majA-maj7
10,4,,,,,,,,,,,,,,,,A-maj7,B-maj,Cmin,B-maj,0.9709505944546686,#,_B-majCminB-majA-maj7
12,5,,,,,,,,,,,,,,,A-maj7,B-maj,Cmin7,B-maj,A-maj7,0.9182958340544896,#,_A-maj7B-majCmin7B-majA-maj7
18,5,,,,,,,,,,,,,,,A-maj7,B-maj,Fmin7,A-maj7,B-maj,1.6113834567195195,##,_B-majA-maj7Fmin7B-majA-maj7
11,8,,,,,,,,,,,,A-maj7,B-maj,Fmin7,A-maj7,B-maj,Fmin7,A-maj7,B-maj,1.672933031873368,##,_B-majA-maj7Fmin7B-majA-maj7Fmin7B-majA-maj7
12,8,,,,,,,,,,,,A-maj7,B-maj6,A-maj7,B-maj6,A-maj7,B-maj6,A-maj7,B-maj6,1.2516291673878228,#,_B-maj6A-maj7B-maj6A-maj7B-maj6A-maj7B-maj6A-maj7
16,3,,,,,,,,,,,,,,,,,A-maj7,B-min7,E-7,0.9544340029249649,#,_E-7B-min7A-maj7
20,10,,,,,,,,,,A-maj7,E-maj,D-maj,Cmin7,Cno3,Gmaj,A-maj,Fmaj,Dmaj,Gmaj,0.9709505944546686,#######,_GmajDmajFmajA-majGmajCno3Cmin7D-majE-majA-maj7
13,4,,,,,,,,,,,,,,,,A-maj7,Fmin7,E-no3,B-no3,1.1401156785146092,#,_B-no3E-no3Fmin7A-maj7
10,6,,,,,,,,,,,,,,A-maj7,Gmin7,Cmin7,Fmin7,E-maj,E-maj7,0.9709505944546686,###,_E-maj7E-majFmin7Cmin7Gmin7A-maj7
37,4,,,,,,,,,,,,,,,,A7,D7,G7,Cmaj,2.40152795325537,#,_CmajG7D7A7
15,8,,,,,,,,,,,,A7,D7,G7,Cmaj,A7,D7,G7,Cmaj,1.7464657985040721,###,_CmajG7D7A7CmajG7D7A7
10,4,,,,,,,,,,,,,,,,A7,Dmin,Dmin7,G7,0.9709505944546686,#,_G7Dmin7DminA7
12,9,,,,,,,,,,,A7,Dmin7,Gmaj,G7,Emin7,A7,Fmaj7,Dmin7,Gsus4,1.4591479170272446,#####,_Gsus4Dmin7Fmaj7A7Emin7G7GmajDmin7A7
12,4,,,,,,,,,,,,,,,,A7,Fmaj7,Dmin7,Gsus4,1.4591479170272446,#,_Gsus4Dmin7Fmaj7A7
11,4,,,,,,,,,,,,,,,,Adim,Fsus4,G7,Cmaj,1.3092966682370037,##,_CmajG7Fsus4Adim
14,4,,,,,,,,,,,,,,,,Amaj,Cmaj,Amaj,Cmaj,0.946372935985442,#,_CmajAmajCmajAmaj
12,13,,,,,,,Amaj,Dmin,Cmaj,Dmin,Ddim7,Fdim7,Cmaj,Emin,Dmin,Fmin,Cmaj,Amaj,Dmin,1.4591479170272448,#########,_DminAmajCmajFminDminEminCmajFdim7Ddim7DminCmajDminAmaj
11,4,,,,,,,,,,,,,,,,Amaj,Dsus4,Dmaj,Gmaj,0.9940302114769565,##,_GmajDmajDsus4Amaj
12,5,,,,,,,,,,,,,,,Amaj,Fmaj,Gmaj,Fmaj,Gmaj,1.0,#,_GmajFmajGmajFmajAmaj
15,7,,,,,,,,,,,,,Amin,B-maj,Amin,Cmaj,Amin,Gmaj,Fmaj,0.9709505944546686,##,_FmajGmajAminCmajAminB-majAmin
12,7,,,,,,,,,,,,,Amin,B-maj,Fmaj,Amin,Emaj,Cmaj,Gmaj,1.0,###,_GmajCmajEmajAminFmajB-majAmin
109,7,,,,,,,,,,,,,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,1.213973795058682,#,_AminCmajAminCmajAminCmajAmin
81,9,,,,,,,,,,,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,1.0645698654315963,#,_AminCmajAminCmajAminCmajAminCmajAmin
61,11,,,,,,,,,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,1.2380473172784794,#,_AminCmajAminCmajAminCmajAminCmajAminCmajAmin
44,13,,,,,,,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,1.110834696384756,#,_AminCmajAminCmajAminCmajAminCmajAminCmajAminCmajAmin
34,15,,,,,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,1.092725395776657,#,_AminCmajAminCmajAminCmajAminCmajAminCmajAminCmajAminCmajAmin
13,8,,,,,,,,,,,,Amin,Cmaj,Amin,Cmaj,Amin,Fmaj,Gmaj,Cmaj,1.3520301017579528,#,_CmajGmajFmajAminCmajAminCmajAmin
27,6,,,,,,,,,,,,,,Amin,Cmaj,Amin,Fmaj,Gmaj,Cmaj,1.1904924696318402,#,_CmajGmajFmajAminCmajAmin
11,9,,,,,,,,,,,Amin,Cmaj,Amin,Fmaj,Gmaj,Cmaj,Amin,Cmaj,Amin,1.823067982273661,#,_AminCmajAminCmajGmajFmajAminCmajAmin
35,4,,,,,,,,,,,,,,,,Amin,Cmaj,G7,Cmaj,1.2424515878790308,#,_CmajG7CmajAmin
11,10,,,,,,,,,,Amin,Cmaj,Gmaj,Cmaj,Amin,Emaj,Amin,Cmaj,Gmaj,Cmaj,1.6171895725927152,####,_CmajGmajCmajAminEmajAminCmajGmajCmajAmin
10,11,,,,,,,,,Amin,Dmin,Fmaj,B-maj,Fmaj,Cmaj,Fmaj,Amin,Dmin,Fmaj,Cmaj,0.9709505944546686,#######,_CmajFmajDminAminFmajCmajFmajB-majFmajDminAmin
24,8,,,,,,,,,,,,Amin,Dmin,Gmaj,Cmaj,Amin,Dmin,Gmaj,Cmaj,1.9657706741379202,##,_CmajGmajDminAminCmajGmajDminAmin
10,11,,,,,,,,,Amin,Dmin,Gmaj,Cmaj,Amin,Dmin,Gmaj,Cmaj,Amin,Dmin,Gmaj,1.1567796494470395,#,_GmajDminAminCmajGmajDminAminCmajGmajDminAmin
12,19,Amin,Dmin7,G7,Gmaj,Emin7,Amin7,Dmin7,Gsus4,G7,Emin7,A7,Dmin7,Gmaj,G7,Emin7,A7,Fmaj7,Dmin7,Gsus4,1.4591479170272446,###############,_Gsus4Dmin7Fmaj7A7Emin7G7GmajDmin7A7Emin7G7Gsus4Dmin7Amin7Emin7GmajG7Dmin7Amin
27,13,,,,,,,Amin,Dmin7,Gmaj,Cmaj,Amin,Dmin7,Gmaj,Cmaj,Amin,Dmin7,Gmaj,Cmaj,Amin,0.9451696091196164,########,_AminCmajGmajDmin7AminCmajGmajDmin7AminCmajGmajDmin7Amin
16,6,,,,,,,,,,,,,,Amin,Emaj,Amin,Cmaj,Gmaj,Cmaj,1.3244602933016414,###,_CmajGmajCmajAminEmajAmin
11,12,,,,,,,,Amin,Emaj,Amin,Cmaj,Gmaj,Cmaj,Amin,Emaj,Amin,Cmaj,Gmaj,Cmaj,1.6171895725927152,#####,_CmajGmajCmajAminEmajAminCmajGmajCmajAminEmajAmin
12,4,,,,,,,,,,,,,,,,Amin,Emaj,Cmaj,Gmaj,1.0,#,_GmajCmajEmajAmin
32,9,,,,,,,,,,,Amin,Emin7,Fmaj,Amin,Emin7,Fmaj,Amin,Emin7,Fmaj,1.061278124459133,####,_FmajEmin7AminFmajEmin7AminFmajEmin7Amin
10,10,,,,,,,,,,Amin,Fmaj,Amin,Fmaj,Cmaj,Gmaj,Fmaj,Cmaj,Dmin,Gsus4,0.9709505944546686,#####,_Gsus4DminCmajFmajGmajCmajFmajAminFmajAmin
18,6,,,,,,,,,,,,,,Amin,Fmaj,Cmaj,Amin,Cmaj,Amin,0.9864267287308424,#,_AminCmajAminCmajFmajAmin
25,7,,,,,,,,,,,,,Amin,Fmaj,Cmaj,Amin,Fmaj,Cmaj,Amin,1.4056780552463373,#,_AminCmajFmajAminCmajFmajAmin
13,6,,,,,,,,,,,,,,Amin,Fmaj,Cmaj,Gmaj,Fmaj,Cmaj,0.9912642605354288,#,_CmajFmajGmajCmajFmajAmin
10,8,,,,,,,,,,,,Amin,Fmaj,Cmaj,Gmaj,Fmaj,Cmaj,Dmin,Gsus4,0.9709505944546686,#,_Gsus4DminCmajFmajGmajCmajFmajAmin
10,5,,,,,,,,,,,,,,,Amin,Fmaj,Csus4,Cmaj,Amin,1.0,##,_AminCmajCsus4FmajAmin
39,6,,,,,,,,,,,,,,Amin,Fmaj,Dmin,Gsus4,Cmaj,Amin,1.1401156785146092,##,_AminCmajGsus4DminFmajAmin
27,11,,,,,,,,,Amin,Fmaj,Dmin,Gsus4,Cmaj,Amin,Fmaj,Dmin,Gsus4,Cmaj,Amin,1.3516441151533922,####,_AminCmajGsus4DminFmajAminCmajGsus4DminFmajAmin
15,16,,,,Amin,Fmaj,Dmin,Gsus4,Cmaj,Amin,Fmaj,Dmin,Gsus4,Cmaj,Amin,Fmaj,Dmin,Gsus4,Cmaj,Amin,1.3709505944546687,####,_AminCmajGsus4DminFmajAminCmajGsus4DminFmajAminCmajGsus4DminFmajAmin
18,7,,,,,,,,,,,,,Amin,Fmaj,Emin,Amin,Fmaj,Emin,Amin,1.0975378398419535,##,_AminEminFmajAminEminFmajAmin
14,10,,,,,,,,,,Amin,Fmaj,Emin,Amin,Fmaj,Emin,Amin,Fmaj,Emin,Amin,1.2916919971380596,##,_AminEminFmajAminEminFmajAminEminFmajAmin
10,13,,,,,,,Amin,Fmaj,Emin,Amin,Fmaj,Emin,Amin,Fmaj,Emin,Amin,Fmaj,Emin,Amin,0.9219280948873623,##,_AminEminFmajAminEminFmajAminEminFmajAminEminFmajAmin
19,7,,,,,,,,,,,,,Amin,Fmaj,G7,Cmaj,Amin,Fmaj,G7,1.0214554656116668,##,_G7FmajAminCmajG7FmajAmin
30,6,,,,,,,,,,,,,,Amin,Fmaj,Gmaj,Amin,Fmaj,Gmaj,1.0322683996633863,#,_GmajFmajAminGmajFmajAmin
18,9,,,,,,,,,,,Amin,Fmaj,Gmaj,Amin,Fmaj,Gmaj,Amin,Fmaj,Gmaj,1.2516291673878228,#,_GmajFmajAminGmajFmajAminGmajFmajAmin
11,7,,,,,,,,,,,,,Amin,Fmaj,Gmaj,Cmaj,Amin,Cmaj,Amin,1.823067982273661,#,_AminCmajAminCmajGmajFmajAmin
181,7,,,,,,,,,,,,,Amin,Fmaj,Gmaj,Cmaj,Amin,Fmaj,Gmaj,1.0609985647322264,#,_GmajFmajAminCmajGmajFmajAmin
132,11,,,,,,,,,Amin,Fmaj,Gmaj,Cmaj,Amin,Fmaj,Gmaj,Cmaj,Amin,Fmaj,Gmaj,0.9688568287659347,###,_GmajFmajAminCmajGmajFmajAminCmajGmajFmajAmin
10,7,,,,,,,,,,,,,Amin,Fmaj,Gmaj,Cmaj,G7,Cmaj,G7,0.9709505944546686,#,_G7CmajG7CmajGmajFmajAmin
20,9,,,,,,,,,,,Amin,Fmaj,Gmaj,Cmaj,Gmaj,Amin,Fmaj,Gmaj,Cmaj,1.5709505944546687,###,_CmajGmajFmajAminGmajCmajGmajFmajAmin
12,14,,,,,,Amin,Fmaj,Gmaj,Cmaj,Gmaj,Amin,Fmaj,Gmaj,Cmaj,Gmaj,Amin,Fmaj,Gmaj,Cmaj,1.7924812503605778,####,_CmajGmajFmajAminGmajCmajGmajFmajAminGmajCmajGmajFmajAmin
11,5,,,,,,,,,,,,,,,Amin,Fmaj7,Gmaj,Emin,Gmaj,1.2406705316766886,#,_GmajEminGmajFmaj7Amin
10,6,,,,,,,,,,,,,,Amin,Gmaj,Cmaj7,Fmaj,Emaj,Amaj,0.9709505944546686,###,_AmajEmajFmajCmaj7GmajAmin
15,7,,,,,,,,,,,,,Amin,Gmaj,Dmin,Emin7,Dmin7,Amin,Gmaj,1.1589385323502772,####,_GmajAminDmin7Emin7DminGmajAmin
10,12,,,,,,,,Amin,Gmaj,Dmin,Emin7,Dmin7,Amin,Gmaj,Dmin,Emin7,Dmin7,Amin,Gmaj,1.360964047443681,####,_GmajAminDmin7Emin7DminGmajAminDmin7Emin7DminGmajAmin
18,6,,,,,,,,,,,,,,Amin,Gmaj,Fmaj,Cmaj,Fmaj,Cmaj,1.1221136771091087,#,_CmajFmajCmajFmajGmajAmin
10,10,,,,,,,,,,Amin,Gmaj,Fmaj,Emaj,Amin,Gmaj,Cmaj7,Fmaj,Emaj,Amaj,0.9709505944546686,######,_AmajEmajFmajCmaj7GmajAminEmajFmajGmajAmin
10,16,,,,Amin,Gmaj,G7,Cmaj7,Fmaj,Emaj,Amin,Gmaj,Fmaj,Emaj,Amin,Gmaj,Cmaj7,Fmaj,Emaj,Amaj,0.9709505944546686,#############,_AmajEmajFmajCmaj7GmajAminEmajFmajGmajAminEmajFmajCmaj7G7GmajAmin
14,4,,,,,,,,,,,,,,,,Amin,Gmaj6,Fmaj,Gmaj,0.946372935985442,##,_GmajFmajGmaj6Amin
16,3,,,,,,,,,,,,,,,,,Amin,Gmin7,C7,1.1216407621868583,#,_C7Gmin7Amin
12,8,,,,,,,,,,,,Amin7,B-maj,Gmin,Cmaj,Amin7,B-maj,Gmin,Cmaj,0.9182958340544896,#####,_CmajGminB-majAmin7CmajGminB-majAmin7
10,6,,,,,,,,,,,,,,Amin7,Bmin7,Emin7,Cmaj7,Bmin7,Amin7,1.0,###,_Amin7Bmin7Cmaj7Emin7Bmin7Amin7
16,11,,,,,,,,,Amin7,C7,Fmaj7,Fmin7,Cmaj,Gmin,C7,Fmaj7,Fmin7,Cmaj,Amin7,1.0,########,_Amin7CmajFmin7Fmaj7C7GminCmajFmin7Fmaj7C7Amin7
10,6,,,,,,,,,,,,,,Amin7,Cmaj,Cmaj7,Cmaj,Cmaj7,Amin7,0.9709505944546686,###,_Amin7Cmaj7CmajCmaj7CmajAmin7
13,4,,,,,,,,,,,,,,,,Amin7,Cmaj,Dmaj,Gmaj,1.573402452417767,#,_GmajDmajCmajAmin7
13,7,,,,,,,,,,,,,Amin7,Cmaj,Fmaj,Cmaj,Dmin7,G7,Cmaj,0.961236604722876,##,_CmajG7Dmin7CmajFmajCmajAmin7
12,14,,,,,,Amin7,Dmin7,Gsus4,G7,Emin7,A7,Dmin7,Gmaj,G7,Emin7,A7,Fmaj7,Dmin7,Gsus4,1.4591479170272446,##########,_Gsus4Dmin7Fmaj7A7Emin7G7GmajDmin7A7Emin7G7Gsus4Dmin7Amin7
15,3,,,,,,,,,,,,,,,,,Amin7,Dsus4,D7,1.4256051990169438,#,_D7Dsus4Amin7
12,4,,,,,,,,,,,,,,,,Amin7,Emin,Fmaj,Gmaj,1.9182958340544893,#,_GmajFmajEminAmin7
27,14,,,,,,Amin7,Emin,Fmaj7,Amin7,Emin7,Dmin7,Gsus4,Amin7,Emin,Fmaj7,Amin7,Emin7,Dmin7,Gsus4,0.9182958340544896,##########,_Gsus4Dmin7Emin7Amin7Fmaj7EminAmin7Gsus4Dmin7Emin7Amin7Fmaj7EminAmin7
27,11,,,,,,,,,Amin7,Emin7,Dmin7,Gsus4,Amin7,Emin,Fmaj7,Amin7,Emin7,Dmin7,Gsus4,0.9182958340544896,#######,_Gsus4Dmin7Emin7Amin7Fmaj7EminAmin7Gsus4Dmin7Emin7Amin7
18,18,,Amin7,Emin7,Dmin7,Gsus4,Amin7,Emin,Fmaj7,Amin7,Emin7,Dmin7,Gsus4,Amin7,Emin,Fmaj7,Amin7,Emin7,Dmin7,Gsus4,1.0,######,_Gsus4Dmin7Emin7Amin7Fmaj7EminAmin7Gsus4Dmin7Emin7Amin7Fmaj7EminAmin7Gsus4Dmin7Emin7Amin7
12,8,,,,,,,,,,,,Amin7,Emin7,Gsus4,Ano3,Asus4,Amin7,Emin7,Gsus4,1.0408520829727552,####,_Gsus4Emin7Amin7Asus4Ano3Gsus4Emin7Amin7
12,4,,,,,,,,,,,,,,,,Amin7,Esus4,Asus4,Amin7,1.0,##,_Amin7Asus4Esus4Amin7
16,13,,,,,,,Amin7,Fmaj7,Amin7,C7,Fmaj7,Fmin7,Cmaj,Gmin,C7,Fmaj7,Fmin7,Cmaj,Amin7,1.0,#########,_Amin7CmajFmin7Fmaj7C7GminCmajFmin7Fmaj7C7Amin7Fmaj7Amin7
10,7,,,,,,,,,,,,,Amin7,Fmaj7,Emin7,Cmaj,Amin7,Fmaj7,Emin7,1.295461844238322,###,_Emin7Fmaj7Amin7CmajEmin7Fmaj7Amin7
36,6,,,,,,,,,,,,,,Amin7,Fmaj7,G7,Fmaj7,Cmaj,Gmaj,1.188721875540867,###,_GmajCmajFmaj7G7Fmaj7Amin7
24,14,,,,,,Amin7,Fmaj7,G7,Fmaj7,Cmaj,Gmaj,Fmaj,Cmaj,Amin7,Fmaj7,G7,Fmaj7,Cmaj,Gmaj,1.4056390622295662,#######,_GmajCmajFmaj7G7Fmaj7Amin7CmajFmajGmajCmajFmaj7G7Fmaj7Amin7
10,5,,,,,,,,,,,,,,,Amin7,Gmaj,Dmin,Amin7,Gmaj,1.360964047443681,#,_GmajAmin7DminGmajAmin7
27,5,,,,,,,,,,,,,,,Amin7,Gsus4,Gmaj,B-maj7,Bhdim,0.9182958340544896,##,_BhdimB-maj7GmajGsus4Amin7
15,5,,,,,,,,,,,,,,,Ano3,Asus4,Amin7,Emin7,Gsus4,0.9055872616982603,##,_Gsus4Emin7Amin7Asus4Ano3
12,10,,,,,,,,,,Ano3,Asus4,Amin7,Emin7,Gsus4,Ano3,Asus4,Amin7,Emin7,Gsus4,1.0408520829727552,####,_Gsus4Emin7Amin7Asus4Ano3Gsus4Emin7Amin7Asus4Ano3
16,14,,,,,,Ano3,Fno3,Gno3,Cno3,Gno3,Ano3,Fno3,Gno3,Cno3,Gno3,Ano3,Fno3,Gno3,Cno3,0.9544340029249649,#########,_Cno3Gno3Fno3Ano3Gno3Cno3Gno3Fno3Ano3Gno3Cno3Gno3Fno3Ano3
10,19,Ano3,Fno3,Gno3,Cno3,Gno3,Ano3,Fno3,Gno3,Cno3,Gno3,Ano3,Fno3,Gno3,Cno3,Gno3,Ano3,Fno3,Gno3,Cno3,0.9709505944546686,####,_Cno3Gno3Fno3Ano3Gno3Cno3Gno3Fno3Ano3Gno3Cno3Gno3Fno3Ano3Gno3Cno3Gno3Fno3Ano3
15,4,,,,,,,,,,,,,,,,Asus4,Amin7,Emin7,Gsus4,0.9055872616982603,#,_Gsus4Emin7Amin7Asus4
12,9,,,,,,,,,,,Asus4,Amin7,Emin7,Gsus4,Ano3,Asus4,Amin7,Emin7,Gsus4,1.0408520829727552,####,_Gsus4Emin7Amin7Asus4Ano3Gsus4Emin7Amin7Asus4
12,5,,,,,,,,,,,,,,,Asus4,Amin7,Esus4,Asus4,Amin7,1.0,##,_Amin7Asus4Esus4Amin7Asus4
12,5,,,,,,,,,,,,,,,B-7,E-maj7,Cmin7,Fmin7,G7,1.4591479170272446,##,_G7Fmin7Cmin7E-maj7B-7
16,8,,,,,,,,,,,,B-maj,A-maj,B-maj,Cmin,B-maj,A-maj,B-maj,Cmin,1.186278124459133,#,_CminB-majA-majB-majCminB-majA-majB-maj
10,11,,,,,,,,,B-maj,A-maj,B-maj,Cmin,B-maj,A-maj,B-maj,Cmin,B-maj,A-maj,B-maj,0.9219280948873623,#,_B-majA-majB-majCminB-majA-majB-majCminB-majA-majB-maj
12,4,,,,,,,,,,,,,,,,B-maj,A-maj,Gsus4,Gmaj,1.5545851693377997,#,_GmajGsus4A-majB-maj
12,5,,,,,,,,,,,,,,,B-maj,A-maj6,Fmin7,Dhdim,G7,1.0408520829727552,###,_G7DhdimFmin7A-maj6B-maj
10,5,,,,,,,,,,,,,,,B-maj,A-maj7,B-maj,Cmin,B-maj,0.9709505944546686,#,_B-majCminB-majA-maj7B-maj
12,6,,,,,,,,,,,,,,B-maj,A-maj7,B-maj,Cmin7,B-maj,A-maj7,0.9182958340544896,#,_A-maj7B-majCmin7B-majA-maj7B-maj
15,6,,,,,,,,,,,,,,B-maj,Amin,Cmaj,Amin,Gmaj,Fmaj,0.9709505944546686,##,_FmajGmajAminCmajAminB-maj
16,4,,,,,,,,,,,,,,,,B-maj,B-maj6,B-maj,B-maj6,1.1994602933016414,#,_B-maj6B-majB-maj6B-maj
14,6,,,,,,,,,,,,,,B-maj,Cmaj,B-maj,Fmaj,Cmaj,B-maj,1.0,#,_B-majCmajFmajB-majCmajB-maj
10,4,,,,,,,,,,,,,,,,B-maj,Cmaj,Csus4,Cmaj,1.5709505944546684,#,_CmajCsus4CmajB-maj
18,5,,,,,,,,,,,,,,,B-maj,Cmaj,Dmin,B-maj,Cmaj,0.9910760598382222,##,_CmajB-majDminCmajB-maj
10,17,,,B-maj,Cmaj,Dmin,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,1.5219280948873621,###########,_CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-majDminCmajB-maj
66,5,,,,,,,,,,,,,,,B-maj,Cmaj,Dmin7,B-maj,Cmaj,0.9493380569167227,#,_CmajB-majDmin7CmajB-maj
54,8,,,,,,,,,,,,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,1.0884595991813413,##,_CmajB-majDmin7CmajB-majDmin7CmajB-maj
42,11,,,,,,,,,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,1.2800199734315583,##,_CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-maj
30,14,,,,,,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,1.5546097612655665,##,_CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-maj
18,17,,,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,1.4466166676282082,##,_CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-maj
